page_title,gt_lat,gt_lon,gt_type,cl_to,type
Sprague's_Super_Service,40.5175,-88.9808,landmark,Buildings_and_structures_on_U.S._Route_66,Attraction
Route_66_Raceway,41.4641,-88.0751,landmark,Buildings_and_structures_on_U.S._Route_66,Attraction
66_Drive-In,37.1741,-94.3689,landmark,Buildings_and_structures_on_U.S._Route_66,Attraction
First_National_Bank_Building_(Albuquerque),35.0847,-106.65,landmark,Buildings_and_structures_on_U.S._Route_66,Building
Willis_Tower,41.8789,-87.6358,landmark,Buildings_and_structures_on_U.S._Route_66,Building
Kingman_(Amtrak_station),35.1882,-114.053,railwaystation,Buildings_and_structures_on_U.S._Route_66,Building
Winslow_(Amtrak_station),35.0208,-110.695,railwaystation,Buildings_and_structures_on_U.S._Route_66,Building
Flagstaff_(Amtrak_station),35.1974,-111.649,railwaystation,Buildings_and_structures_on_U.S._Route_66,Building
"St._John's_Hospital_(Springfield,_Illinois)",39.8086,-89.6546,landmark,Buildings_and_structures_on_U.S._Route_66,Building
McLean_County_Courthouse_and_Square,40.4775,-88.9836,landmark,Buildings_and_structures_on_U.S._Route_66,Building
Dixie_Travel_Plaza,40.3104,-89.169,landmark,Buildings_and_structures_on_U.S._Route_66,Attraction
